Company,Date,Close/Last,Volume,Open,High,Low
AAPL,07/17/2023,0.69,0.32,0.68,0.68,0.69
AAPL,07/14/2023,0.68,0.27,0.68,0.67,0.68
AAPL,07/13/2023,0.68,0.26,0.68,0.67,0.68
AAPL,07-12-2023,0.67,0.39,0.67,0.67,0.68
AAPL,07-11-2023,0.67,0.3,0.67,0.66,0.67
AAPL,07-10-2023,0.67,0.39,0.67,0.66,0.67
AAPL,07-07-2023,0.68,0.3,0.68,0.67,0.68
AAPL,07-06-2023,0.68,0.29,0.67,0.67,0.68
AAPL,07-05-2023,0.68,0.3,0.68,0.67,0.69
AAPL,07-03-2023,0.68,0.2,0.69,0.68,0.69
AAPL,06/30/2023,0.69,0.55,0.68,0.68,0.69
AAPL,06/29/2023,0.67,0.3,0.67,0.66,0.68
AAPL,06/28/2023,0.67,0.33,0.67,0.66,0.67
AAPL,06/27/2023,0.67,0.33,0.66,0.66,0.67
AAPL,06/26/2023,0.66,0.31,0.66,0.66,0.67
AAPL,06/23/2023,0.66,0.34,0.66,0.66,0.66
AAPL,06/22/2023,0.66,0.33,0.65,0.65,0.66
AAPL,06/21/2023,0.65,0.32,0.66,0.65,0.66
AAPL,06/20/2023,0.66,0.32,0.65,0.65,0.66
AAPL,06/16/2023,0.66,0.66,0.66,0.65,0.66
AAPL,06/15/2023,0.66,0.42,0.65,0.65,0.66
AAPL,06/14/2023,0.65,0.37,0.65,0.64,0.65
AAPL,06/13/2023,0.65,0.35,0.65,0.64,0.66
AAPL,06-12-2023,0.65,0.35,0.64,0.64,0.65
AAPL,06-09-2023,0.64,0.31,0.64,0.64,0.65
AAPL,06-08-2023,0.64,0.32,0.63,0.63,0.64
AAPL,06-07-2023,0.63,0.4,0.63,0.63,0.64
AAPL,06-06-2023,0.64,0.42,0.64,0.63,0.64
AAPL,06-05-2023,0.64,0.79,0.65,0.65,0.64
AAPL,06-02-2023,0.64,0.4,0.64,0.64,0.64
AAPL,06-01-2023,0.64,0.44,0.63,0.63,0.64
AAPL,05/31/2023,0.63,0.65,0.63,0.63,0.63
AAPL,05/30/2023,0.63,0.36,0.63,0.63,0.63
AAPL,05/26/2023,0.62,0.35,0.61,0.61,0.62
AAPL,05/25/2023,0.61,0.36,0.61,0.61,0.62
AAPL,05/24/2023,0.61,0.29,0.61,0.6,0.61
AAPL,05/23/2023,0.61,0.33,0.61,0.61,0.62
AAPL,05/22/2023,0.62,0.28,0.62,0.61,0.62
AAPL,05/19/2023,0.62,0.36,0.63,0.62,0.63
AAPL,05/18/2023,0.62,0.42,0.61,0.61,0.62
AAPL,05/17/2023,0.61,0.37,0.61,0.6,0.61
AAPL,05/16/2023,0.61,0.27,0.61,0.6,0.62
AAPL,05/15/2023,0.61,0.24,0.61,0.6,0.62
AAPL,05-12-2023,0.61,0.29,0.62,0.61,0.61
AAPL,05-11-2023,0.62,0.32,0.62,0.61,0.62
AAPL,05-10-2023,0.62,0.35,0.61,0.61,0.62
AAPL,05-09-2023,0.61,0.29,0.61,0.61,0.62
AAPL,05-08-2023,0.62,0.36,0.61,0.61,0.62
AAPL,05-05-2023,0.62,0.74,0.61,0.61,0.61
AAPL,05-04-2023,0.59,0.53,0.58,0.58,0.59
AAPL,05-03-2023,0.59,0.42,0.6,0.6,0.6
AAPL,05-02-2023,0.6,0.31,0.6,0.59,0.6
AAPL,05-01-2023,0.6,0.34,0.6,0.6,0.61
AAPL,04/28/2023,0.6,0.36,0.6,0.59,0.6
AAPL,04/27/2023,0.6,0.42,0.59,0.59,0.59
AAPL,04/26/2023,0.58,0.29,0.58,0.58,0.58
AAPL,04/25/2023,0.58,0.31,0.59,0.58,0.59
AAPL,04/24/2023,0.59,0.27,0.58,0.58,0.59
AAPL,04/21/2023,0.59,0.38,0.58,0.58,0.59
AAPL,04/20/2023,0.59,0.34,0.59,0.59,0.59
AAPL,04/19/2023,0.59,0.31,0.59,0.59,0.59
AAPL,04/18/2023,0.59,0.32,0.59,0.58,0.59
AAPL,04/17/2023,0.59,0.27,0.59,0.58,0.59
AAPL,04/14/2023,0.59,0.32,0.58,0.58,0.59
AAPL,04/13/2023,0.59,0.44,0.57,0.58,0.58
AAPL,04-12-2023,0.57,0.32,0.57,0.57,0.57
AAPL,04-11-2023,0.57,0.31,0.58,0.57,0.58
AAPL,04-10-2023,0.57,0.31,0.57,0.57,0.57
AAPL,04-06-2023,0.58,0.29,0.58,0.58,0.58
AAPL,04-05-2023,0.58,0.33,0.58,0.58,0.58
AAPL,04-04-2023,0.59,0.3,0.59,0.58,0.59
AAPL,04-03-2023,0.59,0.37,0.58,0.58,0.59
AAPL,03/31/2023,0.58,0.44,0.58,0.58,0.58
AAPL,03/30/2023,0.58,0.32,0.57,0.57,0.58
AAPL,03/29/2023,0.57,0.33,0.56,0.56,0.57
AAPL,03/28/2023,0.56,0.29,0.56,0.55,0.56
AAPL,03/27/2023,0.56,0.34,0.57,0.56,0.57
AAPL,03/24/2023,0.57,0.38,0.56,0.56,0.57
AAPL,03/23/2023,0.56,0.44,0.56,0.56,0.57
AAPL,03/22/2023,0.56,0.49,0.56,0.57,0.57
AAPL,03/21/2023,0.56,0.48,0.56,0.56,0.56
AAPL,03/20/2023,0.56,0.48,0.55,0.55,0.55
AAPL,03/17/2023,0.55,0.64,0.55,0.55,0.55
AAPL,03/16/2023,0.55,0.49,0.54,0.55,0.54
AAPL,03/15/2023,0.54,0.5,0.54,0.53,0.54
AAPL,03/14/2023,0.54,0.48,0.54,0.54,0.54
AAPL,03/13/2023,0.53,0.55,0.52,0.53,0.53
AAPL,03-10-2023,0.53,0.44,0.53,0.53,0.53
AAPL,03-09-2023,0.53,0.35,0.54,0.54,0.54
AAPL,03-08-2023,0.54,0.3,0.54,0.54,0.54
