Ticker,Date,Open,High,Low,Close,Adj Close,Volume
AAPL,2023-02-07,0.22,0.23,0.23,0.24,0.23,0.89
AAPL,2023-02-08,0.23,0.23,0.23,0.23,0.22,0.68
AAPL,2023-02-09,0.23,0.23,0.23,0.22,0.22,0.59
AAPL,2023-02-10,0.21,0.22,0.22,0.22,0.22,0.6
AAPL,2023-02-13,0.22,0.23,0.23,0.23,0.23,0.65
AAPL,2023-02-14,0.22,0.22,0.23,0.23,0.23,0.65
AAPL,2023-02-15,0.22,0.23,0.23,0.24,0.24,0.69
AAPL,2023-02-16,0.23,0.23,0.24,0.23,0.23,0.72
AAPL,2023-02-17,0.22,0.22,0.23,0.23,0.23,0.62
AAPL,2023-02-21,0.21,0.22,0.22,0.21,0.21,0.62
AAPL,2023-02-22,0.21,0.21,0.21,0.21,0.21,0.53
AAPL,2023-02-23,0.21,0.21,0.21,0.22,0.22,0.5
AAPL,2023-02-24,0.2,0.2,0.21,0.21,0.21,0.58
AAPL,2023-02-27,0.21,0.21,0.21,0.21,0.21,0.47
AAPL,2023-02-28,0.2,0.21,0.21,0.21,0.21,0.53
AAPL,2023-03-01,0.2,0.2,0.21,0.2,0.2,0.58
AAPL,2023-03-02,0.19,0.2,0.2,0.2,0.2,0.55
AAPL,2023-03-03,0.21,0.21,0.21,0.22,0.22,0.75
AAPL,2023-03-06,0.23,0.23,0.24,0.23,0.23,0.93
AAPL,2023-03-07,0.23,0.23,0.23,0.22,0.22,0.59
AAPL,2023-03-08,0.22,0.22,0.23,0.23,0.23,0.49
AAPL,2023-03-09,0.23,0.23,0.22,0.22,0.22,0.56
AAPL,2023-03-10,0.21,0.21,0.22,0.21,0.21,0.72
AAPL,2023-03-13,0.21,0.22,0.22,0.22,0.22,0.9
AAPL,2023-03-14,0.22,0.22,0.22,0.23,0.23,0.78
AAPL,2023-03-15,0.22,0.22,0.22,0.23,0.23,0.82
AAPL,2023-03-16,0.22,0.23,0.23,0.24,0.24,0.81
AAPL,2023-03-17,0.24,0.23,0.24,0.24,0.24,1.0
AAPL,2023-03-20,0.23,0.24,0.24,0.25,0.25,0.78
AAPL,2023-03-21,0.24,0.24,0.25,0.25,0.25,0.78
AAPL,2023-03-22,0.25,0.25,0.25,0.25,0.25,0.8
AAPL,2023-03-23,0.24,0.25,0.25,0.25,0.25,0.71
AAPL,2023-03-24,0.25,0.25,0.25,0.26,0.26,0.62
AAPL,2023-03-27,0.25,0.25,0.25,0.25,0.25,0.55
AAPL,2023-03-28,0.24,0.24,0.25,0.25,0.25,0.48
AAPL,2023-03-29,0.25,0.25,0.26,0.26,0.26,0.54
AAPL,2023-03-30,0.25,0.25,0.27,0.26,0.26,0.52
AAPL,2023-03-31,0.26,0.26,0.27,0.27,0.27,0.73
AAPL,2023-04-03,0.26,0.27,0.28,0.28,0.28,0.6
AAPL,2023-04-04,0.27,0.27,0.28,0.27,0.27,0.48
AAPL,2023-04-05,0.27,0.26,0.27,0.27,0.27,0.54
AAPL,2023-04-06,0.26,0.26,0.27,0.27,0.27,0.47
AAPL,2023-04-10,0.25,0.25,0.26,0.26,0.26,0.5
AAPL,2023-04-11,0.26,0.25,0.26,0.26,0.26,0.49
AAPL,2023-04-12,0.25,0.25,0.26,0.25,0.25,0.52
AAPL,2023-04-13,0.25,0.27,0.27,0.27,0.27,0.72
AAPL,2023-04-14,0.27,0.27,0.27,0.27,0.27,0.51
AAPL,2023-04-17,0.27,0.27,0.28,0.27,0.27,0.43
AAPL,2023-04-18,0.27,0.27,0.28,0.28,0.28,0.52
AAPL,2023-04-19,0.27,0.28,0.28,0.28,0.28,0.5
AAPL,2023-04-20,0.27,0.27,0.28,0.28,0.28,0.55
AAPL,2023-04-21,0.27,0.27,0.28,0.27,0.27,0.61
AAPL,2023-04-24,0.27,0.27,0.27,0.27,0.27,0.43
AAPL,2023-04-25,0.27,0.27,0.27,0.27,0.27,0.51
AAPL,2023-04-26,0.26,0.26,0.27,0.27,0.27,0.47
AAPL,2023-04-27,0.27,0.28,0.28,0.28,0.28,0.68
AAPL,2023-04-28,0.28,0.28,0.29,0.29,0.29,0.58
AAPL,2023-05-01,0.28,0.28,0.29,0.29,0.29,0.55
AAPL,2023-05-02,0.28,0.28,0.29,0.29,0.29,0.5
AAPL,2023-05-03,0.28,0.28,0.29,0.28,0.28,0.69
AAPL,2023-05-04,0.27,0.27,0.28,0.28,0.28,0.86
AAPL,2023-05-05,0.29,0.3,0.3,0.3,0.3,1.0
MSFT,2023-02-07,0.6,0.63,0.63,0.64,0.64,0.53
MSFT,2023-02-08,0.65,0.66,0.65,0.64,0.64,0.57
MSFT,2023-02-09,0.65,0.65,0.64,0.63,0.63,0.44
MSFT,2023-02-10,0.61,0.61,0.63,0.63,0.62,0.25
MSFT,2023-02-13,0.63,0.65,0.65,0.66,0.65,0.46
MSFT,2023-02-14,0.65,0.65,0.66,0.66,0.66,0.38
MSFT,2023-02-15,0.63,0.64,0.65,0.65,0.65,0.29
MSFT,2023-02-16,0.62,0.62,0.63,0.62,0.62,0.3
MSFT,2023-02-17,0.6,0.6,0.61,0.61,0.61,0.3
MSFT,2023-02-21,0.58,0.58,0.6,0.59,0.59,0.28
MSFT,2023-02-22,0.58,0.58,0.59,0.58,0.58,0.22
MSFT,2023-02-23,0.59,0.59,0.59,0.6,0.6,0.29
MSFT,2023-02-24,0.57,0.57,0.58,0.58,0.58,0.25
MSFT,2023-02-27,0.58,0.57,0.59,0.58,0.58,0.2
MSFT,2023-02-28,0.56,0.57,0.59,0.58,0.58,0.22
MSFT,2023-03-01,0.57,0.57,0.58,0.57,0.57,0.27
MSFT,2023-03-02,0.56,0.57,0.57,0.58,0.58,0.24
MSFT,2023-03-03,0.57,0.58,0.6,0.6,0.6,0.31
MSFT,2023-03-06,0.59,0.6,0.61,0.6,0.6,0.24
MSFT,2023-03-07,0.59,0.59,0.6,0.59,0.59,0.21
MSFT,2023-03-08,0.58,0.58,0.59,0.59,0.59,0.16
MSFT,2023-03-09,0.59,0.6,0.6,0.59,0.59,0.26
MSFT,2023-03-10,0.57,0.57,0.58,0.57,0.57,0.28
MSFT,2023-03-13,0.56,0.59,0.57,0.59,0.59,0.34
MSFT,2023-03-14,0.59,0.6,0.61,0.62,0.62,0.34
MSFT,2023-03-15,0.6,0.62,0.62,0.63,0.63,0.48
MSFT,2023-03-16,0.62,0.66,0.64,0.67,0.67,0.57
MSFT,2023-03-17,0.67,0.68,0.69,0.69,0.69,0.74
MSFT,2023-03-20,0.66,0.66,0.66,0.66,0.66,0.45
MSFT,2023-03-21,0.66,0.65,0.66,0.66,0.66,0.35
MSFT,2023-03-22,0.65,0.67,0.67,0.66,0.66,0.35
MSFT,2023-03-23,0.67,0.67,0.68,0.68,0.68,0.37
MSFT,2023-03-24,0.66,0.67,0.68,0.69,0.69,0.28
MSFT,2023-03-27,0.68,0.67,0.68,0.67,0.67,0.27
MSFT,2023-03-28,0.66,0.66,0.67,0.67,0.67,0.21
MSFT,2023-03-29,0.67,0.67,0.69,0.69,0.69,0.25
MSFT,2023-03-30,0.69,0.68,0.71,0.7,0.7,0.25
MSFT,2023-03-31,0.69,0.7,0.71,0.72,0.72,0.33
MSFT,2023-04-03,0.7,0.7,0.71,0.71,0.71,0.24
MSFT,2023-04-04,0.7,0.71,0.72,0.71,0.71,0.25
MSFT,2023-04-05,0.69,0.69,0.71,0.7,0.7,0.21
MSFT,2023-04-06,0.68,0.71,0.71,0.73,0.73,0.3
MSFT,2023-04-10,0.71,0.7,0.72,0.72,0.72,0.22
MSFT,2023-04-11,0.69,0.69,0.71,0.7,0.7,0.27
MSFT,2023-04-12,0.69,0.69,0.71,0.7,0.7,0.27
MSFT,2023-04-13,0.69,0.7,0.71,0.72,0.72,0.24
MSFT,2023-04-14,0.7,0.7,0.71,0.71,0.71,0.2
MSFT,2023-04-17,0.71,0.71,0.72,0.72,0.72,0.23
MSFT,2023-04-18,0.71,0.71,0.73,0.72,0.72,0.19
MSFT,2023-04-19,0.69,0.7,0.72,0.72,0.72,0.16
MSFT,2023-04-20,0.69,0.7,0.72,0.71,0.71,0.23
MSFT,2023-04-21,0.69,0.69,0.71,0.71,0.71,0.21
