date,open,high,low,close,volume,rsi_7,rsi_14,cci_7,cci_14,sma_50,ema_50,sma_100,ema_100,macd,bollinger,TrueRange,atr_7,atr_14,next_day_close
2014-01-02,0.0,0.0,0.0,0.0,0.37,0.54,0.52,0.42,0.48,0.0,0.0,0.0,0.0,0.47,0.0,0.01,0.01,0.01,0.0
2014-01-03,0.0,0.0,0.0,0.0,0.27,0.52,0.51,0.33,0.49,0.0,0.0,0.0,0.0,0.47,0.0,0.01,0.01,0.01,0.0
2014-01-06,0.0,0.0,0.0,0.0,0.32,0.44,0.47,0.24,0.4,0.0,0.0,0.0,0.0,0.46,0.0,0.01,0.01,0.01,0.0
2014-01-07,0.0,0.0,0.0,0.0,0.29,0.51,0.51,0.32,0.43,0.0,0.0,0.0,0.0,0.46,0.0,0.01,0.01,0.0,0.0
2014-01-08,0.0,0.0,0.0,0.0,0.37,0.57,0.53,0.63,0.53,0.0,0.0,0.0,0.0,0.46,0.0,0.01,0.0,0.0,0.0
2014-01-09,0.0,0.0,0.0,0.0,0.32,0.44,0.47,0.46,0.46,0.0,0.0,0.0,0.0,0.46,0.0,0.02,0.01,0.0,0.0
2014-01-10,0.0,0.0,0.0,0.0,0.46,0.39,0.44,0.18,0.31,0.0,0.0,0.0,0.0,0.46,0.0,0.02,0.01,0.0,0.0
2014-01-13,0.0,0.0,0.0,0.0,0.38,0.26,0.35,0.13,0.17,0.0,0.0,0.0,0.0,0.45,0.0,0.03,0.01,0.01,0.0
2014-01-14,0.0,0.0,0.0,0.0,1.0,0.67,0.62,0.77,0.59,0.0,0.0,0.0,0.0,0.46,0.0,0.08,0.02,0.01,0.0
2014-01-15,0.0,0.0,0.0,0.0,1.0,0.7,0.64,0.92,0.88,0.0,0.0,0.0,0.0,0.47,0.0,0.03,0.02,0.01,0.01
2014-01-16,0.0,0.0,0.0,0.01,0.76,0.76,0.69,0.77,0.82,0.0,0.0,0.0,0.0,0.49,0.0,0.03,0.02,0.01,0.01
2014-01-17,0.0,0.0,0.01,0.01,0.58,0.73,0.68,0.69,0.73,0.0,0.0,0.0,0.0,0.5,0.0,0.01,0.02,0.01,0.01
2014-01-21,0.01,0.0,0.01,0.01,0.61,0.79,0.73,0.69,0.7,0.0,0.0,0.0,0.0,0.51,0.0,0.02,0.01,0.01,0.01
2014-01-22,0.01,0.01,0.01,0.01,0.43,0.8,0.74,0.69,0.66,0.0,0.0,0.0,0.0,0.52,0.0,0.01,0.01,0.01,0.01
2014-01-23,0.01,0.01,0.01,0.01,0.49,0.82,0.76,0.71,0.63,0.0,0.0,0.0,0.0,0.53,0.0,0.03,0.01,0.01,0.01
2014-01-24,0.01,0.01,0.01,0.01,0.47,0.64,0.65,0.6,0.59,0.0,0.0,0.0,0.0,0.54,0.0,0.02,0.01,0.01,0.01
2014-01-27,0.01,0.01,0.0,0.01,0.54,0.54,0.58,0.37,0.53,0.0,0.0,0.0,0.0,0.53,0.0,0.04,0.02,0.01,0.01
2014-01-28,0.01,0.01,0.01,0.01,0.37,0.65,0.65,0.56,0.56,0.0,0.0,0.0,0.0,0.53,0.0,0.03,0.02,0.01,0.01
2014-01-29,0.01,0.01,0.01,0.01,0.36,0.59,0.61,0.5,0.55,0.0,0.0,0.0,0.0,0.53,0.0,0.01,0.01,0.01,0.01
2014-01-30,0.01,0.01,0.01,0.01,0.53,0.67,0.67,0.79,0.6,0.0,0.0,0.0,0.0,0.54,0.0,0.03,0.02,0.01,0.01
2014-01-31,0.01,0.01,0.01,0.01,0.39,0.64,0.65,0.72,0.6,0.0,0.0,0.0,0.0,0.54,0.0,0.02,0.01,0.01,0.01
